No.	アーティスト	曲名	歌ネットURL
1	FRUITS ZIPPER	BABY I LOVED	https://www.uta-net.com/song/352883/
2	FRUITS ZIPPER	Bye-Bye	https://www.uta-net.com/song/360324/
3	FRUITS ZIPPER	Chill Out	https://www.uta-net.com/song/360325/
4	FRUITS ZIPPER	CO-個性	https://www.uta-net.com/song/345052/
5	FRUITS ZIPPER	Going!	https://www.uta-net.com/song/352887/
6	FRUITS ZIPPER	JAM	https://www.uta-net.com/song/380942/
7	FRUITS ZIPPER	KawaiiってMagic	https://www.uta-net.com/song/371844/
8	FRUITS ZIPPER	Midnight in my Head	該当なし
9	FRUITS ZIPPER	NEW KAWAII	https://www.uta-net.com/song/352885/
10	FRUITS ZIPPER	RADIO GALAXY	https://www.uta-net.com/song/330062/
11	FRUITS ZIPPER	Re→TRY & FLY	https://www.uta-net.com/song/330066/
12	FRUITS ZIPPER	Round and Round	該当なし
13	FRUITS ZIPPER	skyfeelan	https://www.uta-net.com/song/330065/
14	FRUITS ZIPPER	Spotlight	https://www.uta-net.com/song/360319/
15	FRUITS ZIPPER	Sugarless GiRL	該当なし
16	FRUITS ZIPPER	We are Frontier	https://www.uta-net.com/song/330064/
17	FRUITS ZIPPER	うぇるかむとぅ〜ざ♡ふるっぱー！	https://www.uta-net.com/song/352888/
18	FRUITS ZIPPER	かがみ	https://www.uta-net.com/song/367019/
19	FRUITS ZIPPER	キミコイ	https://www.uta-net.com/song/346105/
20	FRUITS ZIPPER	さん	https://www.uta-net.com/song/374121/
21	FRUITS ZIPPER	すーぱーかれんたいむ	https://www.uta-net.com/song/360321/
22	FRUITS ZIPPER	スターライト・ヴァルキリー	https://www.uta-net.com/song/360329/
23	FRUITS ZIPPER	ずっと、ずっと、ずっと！	https://www.uta-net.com/song/352884/
24	FRUITS ZIPPER	ぱーすとめいみー	https://www.uta-net.com/song/360327/
25	FRUITS ZIPPER	ハートのローラーコースター	https://www.uta-net.com/song/352886/
26	FRUITS ZIPPER	はちゃめちゃわちゃライフ！	https://www.uta-net.com/song/381275/
27	FRUITS ZIPPER	ハピチョコ	https://www.uta-net.com/song/334591/
28	FRUITS ZIPPER	ピポパポ	https://www.uta-net.com/song/378191/
29	FRUITS ZIPPER	ぴゅあいんざわーるど	https://www.uta-net.com/song/341925/
30	FRUITS ZIPPER	ぴんきーれっど！	https://www.uta-net.com/song/360322/
31	FRUITS ZIPPER	フルーツバスケット	https://www.uta-net.com/song/360330/
32	FRUITS ZIPPER	ふるっぱーりー！	該当なし
33	FRUITS ZIPPER	ふれふるサマー！	https://www.uta-net.com/song/330063/
34	FRUITS ZIPPER	マナカマナカマナ	https://www.uta-net.com/song/360318/
35	FRUITS ZIPPER	わたしの一番かわいいところ	https://www.uta-net.com/song/323011/
36	FRUITS ZIPPER	大きくなったら何になる？	該当なし
37	FRUITS ZIPPER	完璧主義で☆	https://www.uta-net.com/song/323012/
38	FRUITS ZIPPER	君と目があったとき	https://www.uta-net.com/song/386848/
39	FRUITS ZIPPER	君の明るい未来を追いかけて	https://www.uta-net.com/song/323013/
40	FRUITS ZIPPER	月の音	https://www.uta-net.com/song/360323/
41	FRUITS ZIPPER	好き、お願い	https://www.uta-net.com/song/368428/
42	FRUITS ZIPPER	世界はキミからはじまる	https://www.uta-net.com/song/332556/
43	FRUITS ZIPPER	成長期なので。	https://www.uta-net.com/song/387432/
44	FRUITS ZIPPER	超めでたいソング〜こんなに幸せでいいのかな？〜	https://www.uta-net.com/song/339739/
45	FRUITS ZIPPER	天真爛漫	https://www.uta-net.com/song/360326/
46	FRUITS ZIPPER	虹	https://www.uta-net.com/song/360328/
47	FRUITS ZIPPER	末っ子パラドックス	https://www.uta-net.com/song/360320/
48	FRUITS ZIPPER	ぶちかませよ！	https://www.uta-net.com/song/389745/
49	FRUITS ZIPPER	ふるっぱれーど	https://www.uta-net.com/song/392152/
50	CANDY TUNE	CATCH YOU	該当なし
51	CANDY TUNE	hanamaru	https://www.uta-net.com/song/372109/
52	CANDY TUNE	LASTING TUNE	https://www.uta-net.com/song/380180/
53	CANDY TUNE	TUNE MY WAY	該当なし
54	CANDY TUNE	Twilight Dilemma	該当なし
55	CANDY TUNE	WAO！アオハル！	該当なし
56	CANDY TUNE	アイしちゃってます♡	https://www.uta-net.com/song/381000/
57	CANDY TUNE	いえなかったことば ～ありがとう～	該当なし
58	CANDY TUNE	いざや接吻菓子司	該当なし
59	CANDY TUNE	エトセトLOVE YOU	https://www.uta-net.com/song/358463/
60	CANDY TUNE	キス・ミー・パティシエ	https://www.uta-net.com/song/358458/
