id,group_name,song_name,is_active,created_at,mv,fam,bars_per_phrase
50,"CANDY TUNE","CATCH YOU",t,"2026-04-24 08:20:48.502928+00",f,f,
51,"CANDY TUNE",hanamaru,t,"2026-04-24 08:20:48.502928+00",t,f,
74,"CANDY TUNE","HAPPY BOUNCE BIRTHDAY",t,"2026-04-24 08:20:48.502928+00",t,f,
512,"CANDY TUNE",HOT！SCOOP！,t,"2026-06-09 04:47:11.264033+00",t,f,
510,"CANDY TUNE",HTAG,t,"2026-06-09 02:28:17.729477+00",f,f,
52,"CANDY TUNE","LASTING TUNE",t,"2026-04-24 08:20:48.502928+00",f,f,
515,"CANDY TUNE","Princess Girls♡",t,"2026-06-09 04:48:51.52052+00",f,f,
53,"CANDY TUNE","TUNE MY WAY",t,"2026-04-24 08:20:48.502928+00",f,f,
54,"CANDY TUNE","Twilight Dilemma",t,"2026-04-24 08:20:48.502928+00",f,f,
55,"CANDY TUNE",WAO！アオハル！,t,"2026-04-24 08:20:48.502928+00",f,f,
56,"CANDY TUNE",アイしちゃってます♡,t,"2026-04-24 08:20:48.502928+00",t,t,
514,"CANDY TUNE",アンインストールちゅー,t,"2026-06-09 04:48:29.748174+00",f,f,
57,"CANDY TUNE","いえなかったことば ～ありがとう～",t,"2026-04-24 08:20:48.502928+00",t,f,
58,"CANDY TUNE",いざや接吻菓子司,t,"2026-04-24 08:20:48.502928+00",f,f,
59,"CANDY TUNE","エトセトLOVE YOU",t,"2026-04-24 08:20:48.502928+00",t,t,
60,"CANDY TUNE",キス・ミー・パティシエ,t,"2026-04-24 08:20:48.502928+00",t,t,
61,"CANDY TUNE",きゅきゅきゅキュート,t,"2026-04-24 08:20:48.502928+00",f,f,
75,"CANDY TUNE",シャットダウン！,t,"2026-04-24 08:20:48.502928+00",f,f,
186,"CANDY TUNE",すーぱー優勝ちゅーーん！,t,"2026-04-27 11:04:44.617857+00",t,f,
511,"CANDY TUNE",スペシャル感謝祭,t,"2026-06-09 02:28:55.205245+00",t,t,
62,"CANDY TUNE",ナナイロプロローグ,t,"2026-04-24 08:20:48.502928+00",f,f,
513,"CANDY TUNE",びびなつFEVER！,t,"2026-06-09 04:47:58.427911+00",f,f,
63,"CANDY TUNE",レイドバックジャーニー,t,"2026-04-24 08:20:48.502928+00",f,f,
64,"CANDY TUNE",レベチかわいい！,t,"2026-04-24 08:20:48.502928+00",t,t,
70,"CANDY TUNE",倍倍FIGHT！,t,"2026-04-24 08:20:48.502928+00",t,t,
71,"CANDY TUNE",備えあれば無問題,t,"2026-04-24 08:20:48.502928+00",t,t,
67,"CANDY TUNE","君もゾンビですか ゾンビですね",t,"2026-04-24 08:20:48.502928+00",t,t,
66,"CANDY TUNE",夏しかサマーー！♡,t,"2026-04-24 08:20:48.502928+00",f,f,
72,"CANDY TUNE",必殺あざとポーズ,t,"2026-04-24 08:20:48.502928+00",t,t,
68,"CANDY TUNE",推し♡好き♡しんどい,t,"2026-04-24 08:20:48.502928+00",t,t,
73,"CANDY TUNE",未完な青春,t,"2026-04-24 08:20:48.502928+00",f,f,
65,"CANDY TUNE",永遠Twilight,t,"2026-04-24 08:20:48.502928+00",f,f,
69,"CANDY TUNE",絶対きゃんちゅー宣言っ！,t,"2026-04-24 08:20:48.502928+00",f,t,
516,"CUTIE STREET","Crush on you",t,"2026-06-09 05:26:54.666247+00",t,f,
99,"CUTIE STREET",daylight,t,"2026-04-24 08:20:48.502928+00",f,f,
524,"CUTIE STREET",Error404♡,t,"2026-07-30 15:29:23.42017+00",t,f,
517,"CUTIE STREET","I Aman Me Mind",t,"2026-06-09 05:27:12.400953+00",t,f,
100,"CUTIE STREET","Shooting Star",t,"2026-04-24 08:20:48.502928+00",f,f,
101,"CUTIE STREET",かわいいさがしてくれますか？,t,"2026-04-24 08:20:48.502928+00",t,t,
102,"CUTIE STREET",かわいいだけじゃだめですか？,t,"2026-04-24 08:20:48.502928+00",t,t,
103,"CUTIE STREET",きゅーすとのうた,t,"2026-04-24 08:20:48.502928+00",f,t,
518,"CUTIE STREET",キュートなキューたい,t,"2026-06-09 05:27:33.124288+00",t,t,
104,"CUTIE STREET",キューにストップできません！,t,"2026-04-24 08:20:48.502928+00",t,t,
105,"CUTIE STREET",ちきゅーめいくあっぷ計画,t,"2026-04-24 08:20:48.502928+00",t,t,
106,"CUTIE STREET",チョットヒトサジ,t,"2026-04-24 08:20:48.502928+00",f,f,
117,"CUTIE STREET",でぃすこみゅーたんと！,t,"2026-04-24 08:20:48.502928+00",t,f,
118,"CUTIE STREET",ナイスだね,t,"2026-04-24 08:20:48.502928+00",t,f,
107,"CUTIE STREET",ハッピー世界！,t,"2026-04-24 08:20:48.502928+00",f,f,
108,"CUTIE STREET",ハルフレーク,t,"2026-04-24 08:20:48.502928+00",f,f,
109,"CUTIE STREET",ハロハロミライ,t,"2026-04-24 08:20:48.502928+00",f,f,
110,"CUTIE STREET",ひたむきシンデレラ！,t,"2026-04-24 08:20:48.502928+00",t,t,
111,"CUTIE STREET",ぷりきゅきゅ,t,"2026-04-24 08:20:48.502928+00",t,t,
520,"CUTIE STREET",ホメマクリズム,t,"2026-06-18 02:55:00.885575+00",f,f,
112,"CUTIE STREET",モアベリサマー,t,"2026-04-24 08:20:48.502928+00",f,f,
113,"CUTIE STREET",ゆめみるプリマドンナ,t,"2026-04-24 08:20:48.502928+00",t,f,
114,"CUTIE STREET",ラブトレ,t,"2026-04-24 08:20:48.502928+00",t,f,
116,"CUTIE STREET",多元幸福論,t,"2026-04-24 08:20:48.502928+00",f,f,
115,"CUTIE STREET",解,t,"2026-04-24 08:20:48.502928+00",f,f,
1,"FRUITS ZIPPER","BABY I LOVED",t,"2026-04-24 08:06:47.778223+00",f,f,
2,"FRUITS ZIPPER",Bye-Bye,t,"2026-04-24 08:06:47.778223+00",f,f,
3,"FRUITS ZIPPER","Chill Out",f,"2026-04-24 08:06:47.778223+00",f,f,
4,"FRUITS ZIPPER",CO-個性,t,"2026-04-24 08:06:47.778223+00",f,f,
5,"FRUITS ZIPPER",Going!,t,"2026-04-24 08:06:47.778223+00",f,f,
6,"FRUITS ZIPPER",JAM,t,"2026-04-24 08:06:47.778223+00",t,f,
7,"FRUITS ZIPPER",KawaiiってMagic,t,"2026-04-24 08:06:47.778223+00",t,f,
509,"FRUITS ZIPPER",KODO,t,"2026-06-09 02:26:48.514805+00",f,f,
8,"FRUITS ZIPPER","Midnight in my Head",t,"2026-04-24 08:06:47.778223+00",f,f,
9,"FRUITS ZIPPER","NEW KAWAII",t,"2026-04-24 08:06:47.778223+00",t,t,
10,"FRUITS ZIPPER","RADIO GALAXY",t,"2026-04-24 08:06:47.778223+00",t,f,
11,"FRUITS ZIPPER","Re→TRY & FLY",t,"2026-04-24 08:06:47.778223+00",f,f,
12,"FRUITS ZIPPER","Round and Round",t,"2026-04-24 08:06:47.778223+00",f,f,
13,"FRUITS ZIPPER",skyfeelan,t,"2026-04-24 08:06:47.778223+00",f,f,
14,"FRUITS ZIPPER",Spotlight,f,"2026-04-24 08:06:47.778223+00",f,f,
15,"FRUITS ZIPPER","Sugarless GiRL",t,"2026-04-24 08:06:47.778223+00",f,f,
16,"FRUITS ZIPPER","We are Frontier",t,"2026-04-24 08:06:47.778223+00",f,f,
17,"FRUITS ZIPPER",うぇるかむとぅ〜ざ♡ふるっぱー！,t,"2026-04-24 08:06:47.778223+00",f,t,
18,"FRUITS ZIPPER",かがみ,t,"2026-04-24 08:06:47.778223+00",t,t,
19,"FRUITS ZIPPER",キミコイ,t,"2026-04-24 08:06:47.778223+00",t,f,
20,"FRUITS ZIPPER",さん,t,"2026-04-24 08:06:47.778223+00",t,f,
21,"FRUITS ZIPPER",すーぱーかれんたいむ,f,"2026-04-24 08:06:47.778223+00",f,f,
22,"FRUITS ZIPPER",スターライト・ヴァルキリー,t,"2026-04-24 08:06:47.778223+00",f,f,
23,"FRUITS ZIPPER",ずっと、ずっと、ずっと！,t,"2026-04-24 08:06:47.778223+00",t,f,
508,"FRUITS ZIPPER",センセーション,t,"2026-06-09 02:26:35.073665+00",t,t,
24,"FRUITS ZIPPER",ぱーすとめいみー,f,"2026-04-24 08:06:47.778223+00",f,f,
25,"FRUITS ZIPPER",ハートのローラーコースター,t,"2026-04-24 08:06:47.778223+00",f,f,
26,"FRUITS ZIPPER",はちゃめちゃわちゃライフ！,t,"2026-04-24 08:06:47.778223+00",t,t,
27,"FRUITS ZIPPER",ハピチョコ,t,"2026-04-24 08:06:47.778223+00",t,t,
507,"FRUITS ZIPPER",ぱわーオブらぶ,t,"2026-06-09 02:13:33.898349+00",t,t,
28,"FRUITS ZIPPER",ピポパポ,t,"2026-04-24 08:06:47.778223+00",t,t,
29,"FRUITS ZIPPER",ぴゅあいんざわーるど,t,"2026-04-24 08:06:47.778223+00",t,t,
30,"FRUITS ZIPPER",ぴんきーれっど！,t,"2026-04-24 08:06:47.778223+00",f,t,
48,"FRUITS ZIPPER",ぶちかませよ！,t,"2026-04-24 08:06:47.778223+00",f,f,
31,"FRUITS ZIPPER",フルーツバスケット,t,"2026-04-24 08:06:47.778223+00",t,t,
32,"FRUITS ZIPPER",ふるっぱーりー！,t,"2026-04-24 08:06:47.778223+00",f,f,
49,"FRUITS ZIPPER",ふるっぱれーど,t,"2026-04-24 08:06:47.778223+00",t,f,
33,"FRUITS ZIPPER",ふれふるサマー！,t,"2026-04-24 08:06:47.778223+00",f,f,
34,"FRUITS ZIPPER",マナカマナカマナ,f,"2026-04-24 08:06:47.778223+00",f,f,
35,"FRUITS ZIPPER",わたしの一番かわいいところ,t,"2026-04-24 08:06:47.778223+00",t,t,
42,"FRUITS ZIPPER",世界はキミからはじまる,t,"2026-04-24 08:06:47.778223+00",t,f,
38,"FRUITS ZIPPER",君と目があったとき,t,"2026-04-24 08:06:47.778223+00",t,f,
39,"FRUITS ZIPPER",君の明るい未来を追いかけて,t,"2026-04-24 08:06:47.778223+00",f,t,
36,"FRUITS ZIPPER",大きくなったら何になる？,t,"2026-04-24 08:06:47.778223+00",f,f,
45,"FRUITS ZIPPER",天真爛漫,t,"2026-04-24 08:06:47.778223+00",f,f,
41,"FRUITS ZIPPER",好き、お願い,t,"2026-04-24 08:06:47.778223+00",t,t,
37,"FRUITS ZIPPER",完璧主義で☆,t,"2026-04-24 08:06:47.778223+00",f,t,
43,"FRUITS ZIPPER",成長期なので。,t,"2026-04-24 08:06:47.778223+00",f,t,
40,"FRUITS ZIPPER",月の音,f,"2026-04-24 08:06:47.778223+00",f,f,
47,"FRUITS ZIPPER",末っ子パラドックス,f,"2026-04-24 08:06:47.778223+00",f,f,
46,"FRUITS ZIPPER",虹,t,"2026-04-24 08:06:47.778223+00",f,f,
44,"FRUITS ZIPPER",超めでたいソング〜こんなに幸せでいいのかな？〜,t,"2026-04-24 08:06:47.778223+00",t,f,
522,"MORE STAR","WITH KAWAII論",t,"2026-06-23 01:10:50.000258+00",t,t,
521,"MORE STAR",あしたの準備ができたなら,t,"2026-06-23 01:09:57.163672+00",f,f,
525,"MORE STAR",サマーゴー！！,t,"2026-07-30 15:29:58.801036+00",f,f,
119,"MORE STAR",タイムライド,t,"2026-04-24 08:20:48.502928+00",f,f,
120,"MORE STAR",ハグ！,t,"2026-04-24 08:20:48.502928+00",t,t,
121,"MORE STAR",ぴたぴたきゅん,t,"2026-04-24 08:20:48.502928+00",f,f,
122,"MORE STAR",もっと、キラッと,t,"2026-04-24 08:20:48.502928+00",t,t,
123,"MORE STAR",大人未満,t,"2026-04-24 08:20:48.502928+00",f,f,
124,"MORE STAR",相ラブユー,t,"2026-04-24 08:20:48.502928+00",f,f,
76,"SWEET STEADY","Call me, Tell me",t,"2026-04-24 08:20:48.502928+00",f,f,
